id,project_id,calculation_timestamp,metrics_period_start,metrics_period_end,year_week,lead_time,deployment_frequency,change_failure_rate,mttr,cycle_time,throughput,wip,bug_rate,velocity,code_coverage,data_source,project_phase,git_coverage_pct
CMIG_2025-W19,CMIG,2026-04-18 14:09:48,2025-05-05,2025-05-11,2025-W19,8316.07,,,,0.0,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W21,CMIG,2026-04-18 14:09:48,2025-05-19,2025-05-25,2025-W21,7965.67,,,,0.0,0,2,0.0,5,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W22,CMIG,2026-04-18 14:09:48,2025-05-26,2025-06-01,2025-W22,7812.07,,,,0.0,0,0,0.0,1,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W23,CMIG,2026-04-18 14:09:48,2025-06-02,2025-06-08,2025-W23,7564.07,,,,0.0,0,2,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W24,CMIG,2026-04-18 14:09:48,2025-06-09,2025-06-15,2025-W24,7428.07,,,,0.0,0,2,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W25,CMIG,2026-04-18 14:09:48,2025-06-16,2025-06-22,2025-W25,7260.07,,,,0.0,0,0,0.0,1,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W26,CMIG,2026-04-18 14:09:48,2025-06-23,2025-06-29,2025-W26,7164.07,,,,0.0,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W27,CMIG,2026-04-18 14:09:48,2025-06-30,2025-07-06,2025-W27,6908.07,,,,0.0,0,2,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W28,CMIG,2026-04-18 14:09:48,2025-07-07,2025-07-13,2025-W28,6780.07,,,,,0,1,0.0,1,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W29,CMIG,2026-04-18 14:09:48,2025-07-14,2025-07-20,2025-W29,6672.07,,,,0.0,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W30,CMIG,2026-04-18 14:09:48,2025-07-21,2025-07-27,2025-W30,6444.07,,,,0.0,0,1,0.0,4,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W32,CMIG,2026-04-18 14:09:48,2025-08-04,2025-08-10,2025-W32,6132.07,,,,0.0,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W33,CMIG,2026-04-18 14:09:48,2025-08-11,2025-08-17,2025-W33,5980.07,,,,,0,3,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W34,CMIG,2026-04-18 14:09:48,2025-08-18,2025-08-24,2025-W34,5772.07,,,,0.0,0,2,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W35,CMIG,2026-04-18 14:09:48,2025-08-25,2025-08-31,2025-W35,5604.07,,,,0.0,0,0,0.0,1,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W36,CMIG,2026-04-18 14:09:48,2025-09-01,2025-09-07,2025-W36,5424.07,,,,0.0,0,2,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W37,CMIG,2026-04-18 14:09:48,2025-09-08,2025-09-14,2025-W37,5268.07,,,,0.0,0,3,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W38,CMIG,2026-04-18 14:09:48,2025-09-15,2025-09-21,2025-W38,5088.07,,,,0.0,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W39,CMIG,2026-04-18 14:09:48,2025-09-22,2025-09-28,2025-W39,4944.07,,,,0.0,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W40,CMIG,2026-04-18 14:09:48,2025-09-29,2025-10-05,2025-W40,4764.07,,,,0.0,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
